,Type,Case Workclass,Status,Issued Date,Applied Date,Expiration Date,Finalized Date,AddressLine1,AddressLine2,AddressLine3,PostalCode,Description
0,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Withdrawn,,2022-03-07 19:29:20.277000+00:00,,,100,Main,,48104,Delete - test
1,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-04-28 18:36:23+00:00,2022-04-07 22:10:38.673000+00:00,2023-02-01 18:32:20+00:00,2022-10-08 04:00:00+00:00,3209,Hayes,,48108,12.92 kW roof mount solar
2,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-04-25 12:20:57+00:00,,2022-11-14 20:42:56+00:00,2022-05-19 04:00:00+00:00,1693,Stadium,,48103,
3,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-04-20 14:52:18+00:00,,2022-10-31 16:43:12+00:00,2023-01-10 15:42:23+00:00,702,Linda Vista,,48103,
4,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-04-28 13:27:18+00:00,,2022-11-08 18:37:21+00:00,2022-05-13 04:00:00+00:00,1401,Harpst,,48104,
5,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-04-27 20:07:49+00:00,2022-04-11 17:30:27.137000+00:00,2023-01-16 16:41:21+00:00,2022-10-08 04:00:00+00:00,305,Revena,,48103,"5.74 kW PV Array
14, 410W Jinko Panels
6 kW inverter
power optimizers"
6,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-05-04 22:15:35+00:00,2022-04-12 14:47:12.343000+00:00,2022-12-21 17:14:47+00:00,2022-06-25 04:00:00+00:00,1300,Red Oak,,48103,5.18kW (14 panel) Ballasted Solar Array w/ 10kWh Battery Backup
7,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-04-28 18:32:05+00:00,,2022-12-27 19:50:31+00:00,2022-10-11 04:00:00+00:00,3180,Cardinal,,48108,15 Panel Roof Mounted Solar Array
8,Building (Commercial) - Solar - Ground/Roof,Solar - Ground/Roof,Final,2022-04-29 20:17:04+00:00,2022-04-14 15:44:24.123000+00:00,2023-03-15 20:14:20+00:00,2022-09-17 04:00:00+00:00,405,Main,,48104,Installing (80) roof mounted solar panels. Installing AC disconnect and wiring to inverter.
9,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-04-28 18:32:05+00:00,,2022-12-27 19:50:31+00:00,2022-10-11 04:00:00+00:00,3180,Cardinal,,48108,15 Panel Roof Mounted Solar Array
10,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-04-22 17:18:59+00:00,2022-04-18 16:25:06.370000+00:00,2022-12-19 14:38:07+00:00,2022-06-23 04:00:00+00:00,1201,Harbrooke,,48103,15 Panel Roof-Mounted Solar Array
11,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-05-10 09:13:23+00:00,2022-04-21 17:09:51.083000+00:00,2022-12-28 17:32:20+00:00,2022-10-08 04:00:00+00:00,511,Potter,,48103,"6.97 kW roof mount solar
17, 410W panels
6 kW inverter
power optimizers"
12,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-04-27 20:08:59+00:00,2022-04-22 14:26:34.053000+00:00,2023-03-06 14:42:59+00:00,2023-01-05 05:00:00+00:00,711,Fourth,,48104,"10.66 kW array
26, 410W panels
10 kW inverter
power optimizers
16kWh battery"
13,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Void,,2022-04-25 17:43:04.130000+00:00,,,2289,Medford,,48104,"VOID - Duplicate Application, SEE ELECR22-2280 (5.04 kW Roof Mounted 14 Panel Solar Array)"
14,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-04-26 14:04:36+00:00,2022-04-25 17:48:32.023000+00:00,2022-11-30 17:39:25+00:00,2022-06-06 19:34:32+00:00,2289,Medford,,48104,5.04 Roof Mounted 15 Panel Solar Array
15,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-05-16 22:20:59+00:00,2022-04-27 11:43:35.423000+00:00,2023-01-16 16:19:54+00:00,2022-08-03 04:00:00+00:00,309,Hiscock,,48103,Rooftop solar installation
16,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-07-12 10:37:49+00:00,2022-04-27 15:07:57.457000+00:00,2023-05-30 13:29:36+00:00,2022-12-02 05:00:00+00:00,1230,Saunders,,48103,roof mounted solar
