,Case Number,Type,Status,Project Name,Issued Date,Applied Date,Expiration Date,Finalized Date,Module Name,Address,Main Parcel,Description
0,BLDGC22-2030,Building (Commercial) - Solar - Ground/Roof,Final,,04/29/2022,04/14/2022,03/15/2023,09/17/2022,Permit,405 S Main St Ann Arbor MI 48104,09-09-29-429-018,Installing (80) roof mounted solar panels. Installing AC disconnect and wiring to inverter.
1,BLDGC22-2247,Building (Commercial) - Solar - Ground/Roof,Final,,10/10/2022,09/26/2022,06/12/2023,12/15/2022,Permit,3170 Packard Rd Ann Arbor MI 48108,09-12-11-204-029,20 solar panel array to be installed on roof.
2,BLDGC23-0348,Building (Commercial) - Solar - Ground/Roof,Expired,,08/08/2023,07/26/2023,02/05/2024,02/05/2024,Permit,315 Detroit St Ann Arbor MI 48104,,Roof Mount Solar
3,BLDGC22-2339,Building (Commercial) - Solar - Ground/Roof,Final,,12/02/2022,11/09/2022,07/24/2023,01/25/2023,Permit,2394 Winewood Ave Ann Arbor MI 48103,09-09-30-300-007,"16 KW Roof Mount Solar (Stream error, manually submitted in back office)"
4,BLDGC23-0248,Building (Commercial) - Solar - Ground/Roof,Final,,05/26/2023,05/26/2023,12/27/2023,06/30/2023,Permit,2200 Downup Cir Ann Arbor MI 48103,09-09-18-400-901,8.4 kW Roof Mount Array
5,BLDGC23-0055,Building (Commercial) - Solar - Ground/Roof,Expired,,02/14/2023,02/02/2023,01/08/2024,01/08/2024,Permit,2751 Packard Rd Ann Arbor MI 48108,09-12-03-307-048,186.76 kW roof mount array
6,BLDGC25-0049,Building (Commercial) - Solar - Ground/Roof,Final,Veridian South - 2270 Platt Rd,04/28/2025,01/31/2025,12/29/2025,07/02/2025,Permit,2231 Trillium Ln Unit: 22 Ann Arbor MI 48104,09-12-03-100-074,20EA - Hyperion 405W Solar Panels and 10kWh Battery Storage
7,BLDGC24-0315,Building (Commercial) - Solar - Ground/Roof,Final,,08/13/2024,07/18/2024,04/16/2025,10/18/2024,Permit,801 Airport Dr Ann Arbor MI 48108,,"*This permit is for the address 1080 Airport Dr.

130 ZNSHINE SOLAR 550 WATT PHOTOVOLTAIC MODULES WILL BE MOUNTED ON APA'S TITAN
GROUND MOUNT SOLUTION AT A 20 DEGREE TILT."
8,BLDGC24-0316,Building (Commercial) - Solar - Ground/Roof,Final,,08/15/2024,07/18/2024,04/16/2025,10/18/2024,Permit,801 Airport Dr Ann Arbor MI 48108,,"144 ZNSHINE SOLAR 550 WATT PHOTOVOLTAIC MODULES WILL BE MOUNTED ON APA'S TITAN
GROUND MOUNT SOLUTION AT A 20 DEGREE TILT."
9,BLDGC23-0436,Building (Commercial) - Solar - Ground/Roof,Final,,09/27/2023,09/26/2023,07/08/2024,01/11/2024,Permit,310 S Ashley St Ann Arbor MI 48104,09-09-29-145-003,4.48 kW Roof Mount Array
10,BLDGC24-0252,Building (Commercial) - Solar - Ground/Roof,Final,,06/18/2024,06/13/2024,02/17/2025,08/21/2024,Permit,2775 Bedford Rd Ann Arbor MI 48104,09-09-34-408-041,28.89kW Ground Mount Array
11,BLDGC24-0547,Building (Commercial) - Solar - Ground/Roof,Final,,10/24/2024,10/22/2024,07/07/2025,01/07/2025,Permit,2566 Arrowwood Trl Ann Arbor MI 48105,09-09-16-321-002,Installation of 6.4kW of roof mount solar with inverter
12,BLDGC24-0483,Building (Commercial) - Solar - Ground/Roof,Final,,05/28/2025,09/24/2024,01/12/2026,07/15/2025,Permit,630 E Washington St Ann Arbor MI 48104,09-09-29-108-042,"**$4,000 added to scope of work on 06/10/25**

Installing 16 roof mounted solar panels."
13,BLDGC25-0026,Building (Commercial) - Solar - Ground/Roof,Final,,03/14/2025,01/27/2025,01/19/2026,07/22/2025,Permit,1504 Broadway St Ann Arbor MI 48105,09-09-21-302-001,16.72kW of Roof Mount Solar
14,BLDGC25-0027,Building (Commercial) - Solar - Ground/Roof,Final,,03/14/2025,01/27/2025,01/19/2026,07/22/2025,Permit,1506 Broadway St Unit: B1 Ann Arbor MI 48105,09-09-21-302-001,33.44kW of Roof Mount Solar
15,BLDGC25-0200,Building (Commercial) - Solar - Ground/Roof,Issued,,05/20/2025,05/05/2025,11/16/2025,,Permit,2500 S Industrial Hwy Ann Arbor MI 48104,09-12-04-302-005,Commercial roof-mounted solar panel system to be interconnected with utility grid. 48 panels at 28.32 kW DC.
16,BLDGC24-0314,Building (Commercial) - Solar - Ground/Roof,Final,,09/13/2024,07/18/2024,01/19/2026,07/18/2025,Permit,616 E Washington St Ann Arbor MI 48104,09-09-29-108-044,Installing 119 roof mounted solar panels.
17,BLDGC24-0562,Building (Commercial) - Solar - Ground/Roof,Final,721 S Forest,11/01/2024,11/01/2024,01/26/2026,07/24/2025,Permit,721 S Forest Ave Ann Arbor MI 48104,09-09-28-309-007,"100 kW AC ARRAY, (113.68 kW DC), ROOFTOP SOLAR PHOTOVOLTAIC SYSTEM"
18,BLDGC25-0170,Building (Commercial) - Solar - Ground/Roof,Final,,05/15/2025,04/22/2025,01/05/2026,07/09/2025,Permit,2309 Packard St Ann Arbor MI 48104,09-12-04-111-143,"Addition of 76, 535W panels on roof, 30kW inverter and 30kVA transformer"
19,BLDGC24-0036,Building (Commercial) - Solar - Ground/Roof,Expired,,02/20/2024,02/02/2024,09/23/2024,09/23/2024,Permit,1519 Fuller Rd Ann Arbor MI 48105,09-09-21-400-001,118.72 kW Roof Mount Array
20,BLDGC24-0207,Building (Commercial) - Solar - Ground/Roof,Withdrawn,,,05/08/2024,,,Permit,911 S Main St Ann Arbor MI 48104,09-09-32-113-017,Installation of (50) solar panels on the existing roof of the building.
21,BLDGC23-0261,Building (Commercial) - Solar - Ground/Roof,Final,,09/08/2023,06/08/2023,08/21/2024,02/24/2024,Permit,3425 Platt Rd Ann Arbor MI 48108,09-12-11-207-066,9.43 kW Roof Mount Solar
22,BLDGC24-0238,Building (Commercial) - Solar - Ground/Roof,Final,,07/01/2024,06/05/2024,11/17/2025,05/15/2025,Permit,2111 Packard St Ann Arbor MI 48104,09-12-04-119-003,Installation of (233) Solar Panels on the existing roof of the building
23,BLDGC23-0262,Building (Commercial) - Solar - Ground/Roof,Final,,06/13/2023,06/08/2023,08/21/2024,12/11/2023,Permit,3427 Platt Rd Ann Arbor MI 48108,09-12-11-207-066,38.52 kW Roof Mount Solar
24,BLDGC23-0084,Building (Commercial) - Solar - Ground/Roof,Expired,,05/17/2023,02/10/2023,06/03/2024,11/13/2023,Permit,2781 Packard Rd Ann Arbor MI 48108,09-12-03-307-052,48.3 kW Roof Mount Array
25,BLDGC25-0248,Building (Commercial) - Solar - Ground/Roof,Issued,3680 Packard Road - Blossom Dental,07/08/2025,05/27/2025,01/04/2026,,Permit,3680 Packard Rd Ann Arbor MI 48108,09-12-11-102-056,60.72kW roof mount solar
26,BLDGC25-0045,Building (Commercial) - Solar - Ground/Roof,Final,Veridian South - 2270 Platt Rd,04/29/2025,01/31/2025,02/16/2026,08/19/2025,Permit,2231 Trillium Ln Unit: 10 Ann Arbor MI 48104,09-12-03-100-074,20EA - Hyperion 405W Solar Panels and 10kWh Battery Storage
27,BLDGC23-0263,Building (Commercial) - Solar - Ground/Roof,Final,,06/15/2023,06/08/2023,08/21/2024,02/24/2024,Permit,3429 Platt Rd Ann Arbor MI 48108,09-12-11-207-066,31.03 kW Roof Mount System
28,BLDGC25-0053,Building (Commercial) - Solar - Ground/Roof,Final,Veridian South - 2270 Platt Rd,04/28/2025,01/31/2025,02/16/2026,08/20/2025,Permit,2231 Trillium Ln Unit: 32 Ann Arbor MI 48104,09-12-03-100-074,20EA - Hyperion 405W Solar Panels and 10kWh Battery Storage
29,BLDGC24-0014,Building (Commercial) - Solar - Ground/Roof,Void,,,01/16/2024,,,Permit,3874 Research Park Dr Ann Arbor MI 48108,09-12-09-303-017,**VOIDED.  WORK INCLUDED IN BUILDING PERMIT BLDGC22-2102.  FEES TRANSFERRED TO ELEC24-0038.**  Installation of 414 panels with 3 line inverters.
30,BLDGC25-0047,Building (Commercial) - Solar - Ground/Roof,Final,Veridian South - 2270 Platt Rd,04/29/2025,01/31/2025,10/26/2025,08/19/2025,Permit,2231 Trillium Ln Unit: 20 Ann Arbor MI 48104,09-12-03-100-074,20EA - Hyperion 405W Solar Panels and 10kWh Battery Storage
31,BLDGC25-0046,Building (Commercial) - Solar - Ground/Roof,Final,Veridian South - 2270 Platt Rd,04/29/2025,01/31/2025,10/26/2025,08/19/2025,Permit,2231 Trillium Ln Unit: 11 Ann Arbor MI 48104,09-12-03-100-037,20EA - Hyperion 405W Solar Panels and 10kWh Battery Storage
32,BLDGC25-0054,Building (Commercial) - Solar - Ground/Roof,Final,Veridian South - 2270 Platt Rd,04/28/2025,01/31/2025,10/25/2025,08/19/2025,Permit,2231 Trillium Ln Unit: 33 Ann Arbor MI 48104,09-12-03-100-074,20EA - Hyperion 405W Solar Panels and 10kWh Battery Storage
33,BLDGC25-0051,Building (Commercial) - Solar - Ground/Roof,Final,Veridian South - 2270 Platt Rd,04/28/2025,01/31/2025,10/25/2025,08/19/2025,Permit,2231 Trillium Ln Unit: 30 Ann Arbor MI 48104,09-12-03-100-074,20EA - Hyperion 405W Solar Panels and 10kWh Battery Storage
34,BLDGC25-0050,Building (Commercial) - Solar - Ground/Roof,Final,Veridian South - 2270 Platt Rd,04/28/2025,01/31/2025,10/25/2025,08/19/2025,Permit,2231 Trillium Ln Unit: 23 Ann Arbor MI 48104,09-12-03-100-074,20EA - Hyperion 405W Solar Panels and 10kWh Battery Storage
35,BLDGC25-0052,Building (Commercial) - Solar - Ground/Roof,Final,Veridian South - 2270 Platt Rd,04/28/2025,01/31/2025,10/25/2025,08/19/2025,Permit,2231 Trillium Ln Unit: 31 Ann Arbor MI 48104,09-12-03-100-074,20EA - Hyperion 405W Solar Panels and 10kWh Battery Storage
36,BLDGC25-0048,Building (Commercial) - Solar - Ground/Roof,Final,Veridian South - 2270 Platt Rd,05/04/2025,01/31/2025,10/31/2025,08/19/2025,Permit,2231 Trillium Ln Unit: 21 Ann Arbor MI 48104,09-12-03-100-074,20EA - Hyperion 405W Solar Panels and 10kWh Battery Storage
37,BLDGC23-0486,Building (Commercial) - Solar - Ground/Roof,Final,,11/11/2023,11/07/2023,09/16/2024,03/19/2024,Permit,1525 S State St Ann Arbor MI 48104,09-09-33-318-001,73.8 kW Roof Mount Solar
38,BLDGC23-0368,Building (Commercial) - Solar - Ground/Roof,Expired,,08/21/2023,08/11/2023,08/05/2024,08/05/2024,Permit,2120 Traver Rd Ann Arbor MI 48105,09-09-16-400-008,40.66 kW Solar Carport
39,BLDGC23-0088,Building (Commercial) - Solar - Ground/Roof,Final,,03/10/2023,02/15/2023,12/18/2023,06/21/2023,Permit,3465 E Huron River Dr Ann Arbor MI 48104,09-09-35-204-001,24.3 kW Ground Mount Array
40,BLDGC22-2202,Building (Commercial) - Solar - Ground/Roof,Final,,03/21/2023,08/01/2022,09/27/2023,04/01/2023,Permit,3611 Plymouth Rd Ann Arbor MI 48105,09-09-14-400-009,Ballasted roof PV solar array with 23 Jinko 410W solar modules.
41,BLDGC23-0260,Building (Commercial) - Solar - Ground/Roof,Final,,06/13/2023,06/08/2023,08/21/2024,12/11/2023,Permit,3423 Platt Rd Ann Arbor MI 48108,09-12-11-207-066,31.565 kW Roof Mount Solar
42,BLDGC25-0389,Building (Commercial) - Solar - Ground/Roof,Fees Paid,,,08/22/2025,,,Permit,301 E Huron St Ann Arbor MI 48104,09-09-29-114-007,Roof mounted solar array being installed at City Hall and the Justice Center.
43,BLDGC25-0390,Building (Commercial) - Solar - Ground/Roof,Fees Paid,,,08/22/2025,,,Permit,111 N Fifth Ave Ann Arbor MI 48104,09-09-29-126-012,Roof mounted solar array on Fire Station 1 for the City of Ann Arbor
44,BLDGC25-0020,Building (Commercial) - Solar - Ground/Roof,Issued,2935 Plymouth - UM Credit Union,03/10/2025,01/21/2025,03/03/2026,,Permit,2935 Plymouth Rd Ann Arbor MI 48105,09-09-15-401-031,9.63 KW ROOF MOUNT SOLAR
