Permit #,Workclass,Issue Date,Address,Description,Contractor
TC-RES-0523-04960,Solar,01/04/2024,,Roof Mounted PV System with PV meter and AC Disco. Rev3: MPU 125/100 of MSP: Rev 4:  Add a new 100A subpanel.,Freedom Forever
TC-RES-0523-05080,Solar,01/04/2024,,Install for a 26.730 kW DC/ 21.78KW AC Ground-mounted photovoltaic system with a 150A derate.,Sunsolar Solutions Inc
TC-RES-0823-07556,Solar,01/04/2024,,ROOF MOUNTED PV SYSTEM,Freedom Forever
TC-RES-0823-07686,Solar,01/04/2024,,PV solar roof mount 26 panels 10.4 kW DC,Mona Lee Solar
TC-RES-0923-07988,Solar,01/03/2024,,ROOF MOUNTED PV SYSTEM,Freedom Forever
TC-RES-0923-08252,Solar,01/03/2024,,4.16 KW DC SOLAR PHOTOVOLTAIC SYSTEM ROOF MOUNTED,Solar Topps LLC
TC-RES-0923-08308,Solar,01/03/2024,,INSTALLATION OF SOLAR PHOTOVOLTAIC SYSTEM: Revision 1: Add 225A MPU.,SunUp America
TC-RES-1023-08588,Solar,01/04/2024,,Install for a 8.100 kW roof-mounted photovoltaic system.,Sunsolar Solutions Inc
TC-RES-1023-08798,Solar,01/03/2024,,NEW PHOTOVOLTAIC ROOF MOUNTED SYSTEM - 22.515 KW DC/17.600 KW AC & (N) 400A MPU / 200A,On Point Solar Power
TC-RES-1023-08916,Solar,01/05/2024,"2703 E 5TH ST, TUCSON, AZ 85716",Roof-mounted solar PV installation,Andres Bautista-Aranda
TC-RES-1023-08993,Solar,01/03/2024,,Installation of new 8.91kW rooftop photovoltaic solar. Upgrade of main service panel to new 225/200 Siemens,Allison Tibbetts
TC-RES-1023-09041,Solar,01/04/2024,,ROOF MOUNTED PV SYSTEM,Freedom Forever
TC-RES-1023-09111,Solar,01/03/2024,,Install for a 7.380 kW roof-mounted photovoltaic system with a 200A MPU.,Sunsolar Solutions Inc
TC-RES-1023-09158,Solar,01/02/2024,,Roof Mounted PV system DC SYSTEM SIZE (kW): 6 kWAC SYSTEM SIZE (kW): 4.35 kW With main service panel,Kailee Roma
TC-RES-1123-09251,Solar,01/03/2024,,"Roof mount 6.15 kW DC photovoltaic solar system; 15 AC modules, 2 branches, PV combiner box, 30A PV breaker on",Technicians for Sustainability
TC-RES-1123-09263,Solar,01/04/2024,,ROOF MOUNTED PV SYSTEM,Freedom Forever
TC-RES-1123-09351,Solar,01/02/2024,,Rooftop PV Install 5.60KW,Zoe Clemons
TC-RES-1123-09464,Solar,01/02/2024,,ROOF-MOUNTED PV SYSTEM,Freedom Forever
TC-RES-1123-09491,Solar,01/03/2024,,ROOF MOUNTED PV SYSTEM,Freedom Forever
TC-RES-1123-09516,Solar,01/03/2024,,Installation of 10.4 kwDC roof mounted photovoltaic system;  175a derate,Titan Solar Power Inc
TC-RES-1123-09521,Solar,01/02/2024,,"Roof-mounted PV solar installation, 21 modules, 8.4kW DC, 6.09kW AC, with main panel upgrade, battery, electric",Saguaro Solar Electric
TC-RES-1123-09575,Solar,01/03/2024,,Roof-mounted solar PV installation.,Maria Zazueta
TC-RES-1123-09578,Solar,01/03/2024,,Solar PV Install 8.00KW,Zoe Clemons
TC-RES-1123-09587,Solar,01/03/2024,,12.4kW Residential roof mounted solar with connectder meter socket.,Kailee Roma
TC-RES-1123-09599,Solar,01/04/2024,,9.60 DC Kw PHOTOVOLTAIC SYSTEM (ROOF MOUNTED),Solar Topps LLC
TC-RES-1123-09735,Solar,01/02/2024,,ROOF MOUNTED PV SYSTEM,Freedom Forever
TC-RES-1123-09747,Solar,01/03/2024,,Installation of 11.90kW PV System / Main Panel Ugrade 225A,Our World Energy
TC-RES-1123-09758,Solar,01/03/2024,,ROOF MOUNTED PV SYSTEM,Freedom Forever
TC-RES-1123-09805,Solar,01/04/2024,,ROOF MOUNTED PV SYSTEM,Freedom Forever
TC-RES-1123-09810,Solar,01/03/2024,,ROOF MOUNTED PV SYSTEM,Freedom Forever
TC-RES-1123-09815,Solar,01/02/2024,,Install a 7.6 KW AC solar system with,SunUp America
TC-RES-1223-09855,Solar,01/03/2024,,7.6 KW Rooftop Mounted Solar With 125/100A Main Panel Upgrade,Dayne Johnson
TC-RES-1223-09866,Solar,01/03/2024,,ROOF MOUNTED PV SYSTEM,Freedom Forever
