Permit #,Workclass,Issue Date,Address,Description,Contractor
T22CM05250,Solar,01/05/2023,"255 N GRANADA AV, TUCSON, AZ 
85701",Solar installation,"ABCO Solar, Inc."
T22CM07884,Solar,01/10/2023,,"Roof-mounted PV system on Building C: 110 Modules, TEP utility meter 169207092.",info
TC-COM-1124-02186,Solar,01/13/2025,"2001 N 7TH AV, TUCSON, AZ 
85705",The BICAS PV System will consist of 45 modules mounted on a new steel canopy in the existing parking area.,Technicians for Sustainability
TC-COM-1224-02383,Solar,01/21/2025,"825 S PARK AV, TUCSON, AZ 
85719",The Beyond Bread Park Avenue PV system will consist of 403 modules mounted on 4 new steel structures and an,Technicians for Sustainability
TC-COM-1123-02725,Solar,01/24/2024,"2760 N TUCSON BL, TUCSON, AZ 
85716",The Drawing Studio PV System will consist of 21 SILFAB 500W modules. Six grid-tied microinverters will supply power,Technicians for Sustainability
TC-COM-1123-02763,Solar,01/26/2024,"3028 E SILVER ST, TUCSON, AZ 
85716",YOUTH ON THEIR OWN 15.0 kW DC system: 30 SILFAB 500W modules & 1 grid-tied inverter. All modules are,Technicians for Sustainability
TC-COM-1224-02304,Solar,01/29/2025,,"Church Photovoltaic system addition, 60 new 520W modules (31.2kW DC) on a new steel structure. add to exist PV",Technicians for Sustainability
TC-COM-0823-02046,Solar,01/30/2024,,Install PV Solar Parking Canopies 343.44 KW DC/ 288 KW AC,SOLON Corporation
T22CM06079,Solar,01/31/2023,"1300 N STONE AV, TUCSON, AZ 
85705",Installation of 193.52kw roof mounted PV solar panel system,Solar Gain Inc.
T22CM07883,Solar,01/30/2023,,"Roof-mounted PV system on Building B: 108 Modules, TEP utility meter 169207093.",info
TC-COM-0124-00001,Solar,02/07/2024,"3300 S PARK AV, TUCSON, AZ 
85713",Install PV Solar Canopy 128.52 KW dc/ 100 KW ac,SOLON Corporation
TC-COM-1223-02912,Solar,02/06/2024,"66 E PENNINGTON ST, TUCSON, AZ 
85701",The Coyote Task Force PV system will consist of 57 500W modules. A grid-tied inverter will supply power through,Technicians for Sustainability
TC-COM-1122-00059,Solar,02/07/2023,,110kW AC solar shade canopy installation,SOLON Corporation
TC-COM-1122-00130,Solar,02/08/2023,"730 S WILMOT RD, TUCSON, AZ 
85711",72 kW AC Photovoltaic Shade Canopy Project,SOLON Corporation
TC-COM-0125-00113,Solar,02/11/2025,"5180 E WILLIAMS CI, TUCSON, AZ 
85711",The WILLIAMS CENTRE GYM 15.0kW DC photovoltaic system will consist of 30 SILFAB 500W modules.  Grid-tied,Technicians for Sustainability
TC-COM-0124-00048,Solar,02/13/2024,"192 S STONE AV, TUCSON, AZ 
85701",Install PV Solar parking canopies .,SOLON Corporation
TC-COM-0623-01422,Solar,02/13/2024,,relocation of existing solar canopy system 210.6 DC KW,
T22CM05903,Solar,02/16/2023,,Solar PV Panels,Contractco Inc
TC-COM-0123-00409,Solar,02/15/2023,"702 E 17TH ST, TUCSON, AZ 85719",New Commercial Roof Mount Solar System,
TC-COM-0124-00159,Solar,02/28/2024,"3775 N 1ST AV, TUCSON, AZ 
85719",SATORI SCHOOL PV SYSTEM WILL CONSIST OF 35 Q-CELL 410W MODULES. 2 GRID TIED INVERTERS WILL,Technicians for Sustainability
