,CaseType,CaseWorkclass,CaseStatus,IssueDate,ApplyDate,ExpireDate,FinalDate,AddressLine1,AddressLine2,AddressLine3,PostalCode,Description
347,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Withdrawn,,2022-03-07T19:29:20.277Z,,,100,Main,,48104,Delete - test
852,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-04-28T18:36:23Z,2022-04-07T22:10:38.673Z,2023-02-01T18:32:20Z,2022-10-08T04:00:00Z,3209,Hayes,,48108,12.92 kW roof mount solar
866,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-04-25T12:20:57Z,2022-04-08T16:08:07Z,2022-11-14T20:42:56Z,2022-05-19T04:00:00Z,1693,Stadium,,48103,
885,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-04-20T14:52:18Z,2022-04-11T16:11:49Z,2022-10-31T16:43:12Z,2023-01-10T15:42:23Z,702,Linda Vista,,48103,
886,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-04-28T13:27:18Z,2022-04-11T16:24:53Z,2022-11-08T18:37:21Z,2022-05-13T04:00:00Z,1401,Harpst,,48104,
887,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-04-27T20:07:49Z,2022-04-11T17:30:27.137Z,2023-01-16T16:41:21Z,2022-10-08T04:00:00Z,305,Revena,,48103,"5.74 kW PV Array
14, 410W Jinko Panels
6 kW inverter
power optimizers"
901,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-05-04T22:15:35Z,2022-04-12T14:47:12.343Z,2022-12-21T17:14:47Z,2022-06-25T04:00:00Z,1300,Red Oak,,48103,5.18kW (14 panel) Ballasted Solar Array w/ 10kWh Battery Backup
916,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-04-28T18:32:05Z,2022-04-13T15:45:29Z,2022-12-27T19:50:31Z,2022-10-11T04:00:00Z,3180,Cardinal,,48108,15 Panel Roof Mounted Solar Array
1110,Building (Commercial) - Solar - Ground/Roof,Solar - Ground/Roof,Final,2022-04-29T20:17:04Z,2022-04-14T15:44:24.123Z,2023-03-15T20:14:20Z,2022-09-17T04:00:00Z,405,Main,,48104,Installing (80) roof mounted solar panels. Installing AC disconnect and wiring to inverter.
1178,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Final,2022-04-28T18:32:05Z,2022-04-13T15:45:29Z,2022-12-27T19:50:31Z,2022-10-11T04:00:00Z,3180,Cardinal,,48108,15 Panel Roof Mounted Solar Array
